StudentID,Earned Points,Possible Points,PercentCorrect,QuizCreated,Stu1,PriKey1,Points1,Stu2,PriKey2,Points2,Stu3,PriKey3,Points3,Stu4,PriKey4,Points4,Stu5,PriKey5,Points5,Stu6,PriKey6,Points6,Stu7,PriKey7,Points7,Stu8,PriKey8,Points8,Stu9,PriKey9,Points9,Stu10,PriKey10,Points10,Stu11,PriKey11,Points11,Stu12,PriKey12,Points12,Stu13,PriKey13,Points13,Stu14,PriKey14,Points14,Stu15,PriKey15,Points15,Stu16,PriKey16,Points16,Stu17,PriKey17,Points17,Stu18,PriKey18,Points18,Stu19,PriKey19,Points19,Stu20,PriKey20,Points20,Stu21,PriKey21,Points21,Stu22,PriKey22,Points22,Stu23,PriKey23,Points23,Stu24,PriKey24,Points24,Stu25,PriKey25,Points25,Stu26,PriKey26,Points26,Stu27,PriKey27,Points27,Stu28,PriKey28,Points28,Stu29,PriKey29,Points29,Stu30,PriKey30,Points30,Stu31,PriKey31,Points31,Stu32,PriKey32,Points32,Stu33,PriKey33,Points33,Stu34,PriKey34,Points34,Stu35,PriKey35,Points35
DL 399034018,20,35,57.14,28-02-2020 00:00,A,B,0,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,D,A,0,D,D,1,D,A,0,A,D,0,A,A,1,B,B,1,D,D,1,B,B,1,A,A,1,B,B,1,A,C,0,C,D,0,B,C,0,A,A,1,A,A,1,A,A,1,B,C,0,C,C,1,B,A,0,B,B,1,A,A,1,C,C,1,D,C,0,C,B,0,A,D,0,B,A,0,B,B,1,D,D,1,B,B,1
DL 399430020,19,35,54.29,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,D,A,0,A,D,0,B,A,0,B,B,1,C,D,0,C,B,0,A,A,1,B,B,1,C,C,1,C,D,0,B,C,0,A,A,1,A,A,1,A,A,1,B,C,0,C,C,1,A,A,1,B,B,1,A,A,1,D,C,0,A,C,0,B,B,1,A,D,0,A,A,1,A,B,0,B,D,0,A,B,0
DL 903032014,22,35,62.86,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,C,D,0,B,B,1,A,A,1,D,D,1,D,A,0,D,D,1,,A,0,B,B,1,B,D,0,A,B,0,A,A,1,C,B,0,C,C,1,C,D,0,B,C,0,B,A,0,A,A,1,A,A,1,B,C,0,C,C,1,A,A,1,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,A,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 939034610,11,35,31.43,28-02-2020 00:00,D,B,0,C,D,0,C,D,0,D,D,1,D,D,1,A,B,0,C,A,0,C,D,0,B,A,0,A,D,0,B,A,0,A,B,0,A,D,0,A,B,0,C,A,0,A,B,0,C,C,1,B,D,0,B,C,0,A,A,1,A,A,1,A,A,1,A,C,0,C,C,1,C,A,0,C,B,0,A,A,1,A,C,0,C,C,1,C,B,0,D,D,1,B,A,0,B,B,1,A,D,0,C,B,0
DL 977032063,14,35,40,29-02-2020 00:00,A,B,0,C,D,0,C,D,0,C,D,0,A,D,0,B,B,1,C,A,0,A,D,0,D,A,0,A,D,0,D,A,0,B,B,1,D,D,1,B,B,1,B,A,0,A,B,0,C,C,1,A,D,0,B,C,0,A,A,1,A,A,1,D,A,0,B,C,0,C,C,1,A,A,1,B,B,1,A,A,1,D,C,0,C,C,1,C,B,0,A,D,0,B,A,0,C,B,0,D,D,1,B,B,1
DL 983031038,14,35,40,04-03-2020 00:00,A,B,0,B,D,0,C,D,0,D,D,1,C,D,0,B,B,1,C,A,0,D,D,1,A,A,1,C,D,0,D,A,0,A,B,0,C,D,0,C,B,0,D,A,0,B,B,1,A,C,0,A,D,0,C,C,1,A,A,1,A,A,1,D,A,0,B,C,0,A,C,0,B,A,0,B,B,1,A,A,1,D,C,0,A,C,0,B,B,1,B,D,0,A,A,1,B,B,1,D,D,1,D,B,0
DL 984031001,17,35,48.57,04-03-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,C,D,0,B,B,1,A,A,1,D,D,1,D,A,0,A,D,0,D,A,0,D,B,0,D,D,1,B,B,1,B,A,0,B,B,1,C,C,1,C,D,0,C,C,1,A,A,1,A,A,1,A,A,1,A,C,0,A,C,0,D,A,0,C,B,0,B,A,0,C,C,1,B,C,0,D,B,0,A,D,0,A,A,1,B,B,1,D,D,1,A,B,0
DL 984031002,16,35,45.71,04-03-2020 00:00,A,B,0,A,D,0,C,D,0,D,D,1,C,D,0,B,B,1,D,A,0,D,D,1,A,A,1,D,D,1,B,A,0,B,B,1,,D,0,C,B,0,D,A,0,,B,0,C,C,1,B,D,0,B,C,0,A,A,1,A,A,1,D,A,0,B,C,0,C,C,1,A,A,1,D,B,0,A,A,1,,C,0,A,C,0,C,B,0,,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 984031003,16,35,45.71,04-03-2020 00:00,B,B,1,B,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,B,A,0,C,D,0,D,A,0,B,B,1,C,D,0,A,B,0,D,A,0,A,B,0,C,C,1,B,D,0,B,C,0,A,A,1,A,A,1,A,A,1,A,C,0,B,C,0,D,A,0,B,B,1,A,A,1,B,C,0,A,C,0,C,B,0,D,D,1,A,A,1,B,B,1,BD,D,0,,B,0
DL 984031007,23,35,65.71,04-03-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,A,A,1,A,D,0,A,A,1,B,B,1,A,D,0,A,B,0,A,A,1,C,B,0,C,C,1,D,D,1,C,C,1,A,A,1,A,A,1,A,A,1,A,C,0,D,C,0,A,A,1,C,B,0,A,A,1,C,C,1,B,C,0,A,B,0,B,D,0,A,A,1,B,B,1,D,D,1,B,B,1
